Date,USD/INR
06-03-1975,7.75
07-03-1975,7.75
10-03-1975,7.75
11-03-1975,7.75
12-03-1975,7.75
13-03-1975,7.75
14-03-1975,7.75
17-03-1975,7.75
18-03-1975,7.75
19-03-1975,7.75
20-03-1975,7.75
21-03-1975,7.75
24-03-1975,7.75
25-03-1975,7.75
26-03-1975,7.75
27-03-1975,7.75
28-03-1975,7.75
31-03-1975,7.75
01-04-1975,7.75
02-04-1975,7.75
03-04-1975,7.75
04-04-1975,7.75
07-04-1975,7.84
08-04-1975,7.84
09-04-1975,7.84
10-04-1975,7.84
11-04-1975,7.84
14-04-1975,7.94
15-04-1975,7.94
16-04-1975,7.94
17-04-1975,7.94
18-04-1975,7.94
21-04-1975,7.91
22-04-1975,7.91
23-04-1975,7.91
24-04-1975,7.91
25-04-1975,7.91
28-04-1975,8
29-04-1975,8
30-04-1975,8
01-05-1975,8
02-05-1975,8
05-05-1975,8
06-05-1975,8.03
07-05-1975,8.03
08-05-1975,8.03
09-05-1975,8.03
12-05-1975,8.03
13-05-1975,8.03
14-05-1975,8.03
15-05-1975,8.03
16-05-1975,8.03
19-05-1975,8.16
20-05-1975,8.16
21-05-1975,8.16
22-05-1975,8.16
23-05-1975,8.16
26-05-1975,
27-05-1975,8.1
28-05-1975,8.1
29-05-1975,8.1
30-05-1975,8.1
02-06-1975,8.1
03-06-1975,8.1
04-06-1975,8.1
05-06-1975,8.1
06-06-1975,8.1
09-06-1975,8.1
10-06-1975,8.1
11-06-1975,8.1
12-06-1975,8.1
13-06-1975,8.1
16-06-1975,8.23
17-06-1975,8.23
18-06-1975,8.23
19-06-1975,8.23
20-06-1975,8.26
23-06-1975,8.26
24-06-1975,8.26
25-06-1975,8.26
26-06-1975,8.26
27-06-1975,8.4
30-06-1975,8.4
01-07-1975,8.4
02-07-1975,8.51
03-07-1975,8.47
04-07-1975,
07-07-1975,8.47
08-07-1975,8.47
09-07-1975,8.4
10-07-1975,8.4
11-07-1975,8.47
14-07-1975,8.47
15-07-1975,8.47
